/
speaker000_0000	/content/video/speaker000/speaker000_0000.mp4	/content/audio/speaker000/speaker000_0000.wav	183	116657
speaker000_0001	/content/video/speaker000/speaker000_0001.mp4	/content/audio/speaker000/speaker000_0001.wav	110	70217
speaker000_0002	/content/video/speaker000/speaker000_0002.mp4	/content/audio/speaker000/speaker000_0002.wav	168	106626
speaker000_0003	/content/video/speaker000/speaker000_0003.mp4	/content/audio/speaker000/speaker000_0003.wav	316	202107
speaker000_0004	/content/video/speaker000/speaker000_0004.mp4	/content/audio/speaker000/speaker000_0004.wav	109	69103
speaker000_0005	/content/video/speaker000/speaker000_0005.mp4	/content/audio/speaker000/speaker000_0005.wav	149	95109
speaker000_0006	/content/video/speaker000/speaker000_0006.mp4	/content/audio/speaker000/speaker000_0006.wav	379	241488
speaker000_0007	/content/video/speaker000/speaker000_0007.mp4	/content/audio/speaker000/speaker000_0007.wav	299	190961
speaker000_0009	/content/video/speaker000/speaker000_0009.mp4	/content/audio/speaker000/speaker000_0009.wav	261	166441
speaker000_0010	/content/video/speaker000/speaker000_0010.mp4	/content/audio/speaker000/speaker000_0010.wav	219	140063
speaker000_0011	/content/video/speaker000/speaker000_0011.mp4	/content/audio/speaker000/speaker000_0011.wav	293	187617
speaker000_0013	/content/video/speaker000/speaker000_0013.mp4	/content/audio/speaker000/speaker000_0013.wav	378	241488
speaker000_0014	/content/video/speaker000/speaker000_0014.mp4	/content/audio/speaker000/speaker000_0014.wav	182	115914
speaker000_0015	/content/video/speaker000/speaker000_0015.mp4	/content/audio/speaker000/speaker000_0015.wav	135	85450
speaker000_0016	/content/video/speaker000/speaker000_0016.mp4	/content/audio/speaker000/speaker000_0016.wav	220	139691
speaker000_0017	/content/video/speaker000/speaker000_0017.mp4	/content/audio/speaker000/speaker000_0017.wav	229	146750
speaker000_0019	/content/video/speaker000/speaker000_0019.mp4	/content/audio/speaker000/speaker000_0019.wav	373	238516
speaker000_0020	/content/video/speaker000/speaker000_0020.mp4	/content/audio/speaker000/speaker000_0020.wav	256	163840
speaker000_0022	/content/video/speaker000/speaker000_0022.mp4	/content/audio/speaker000/speaker000_0022.wav	293	186503
speaker000_0024	/content/video/speaker000/speaker000_0024.mp4	/content/audio/speaker000/speaker000_0024.wav	116	73561
speaker000_0026	/content/video/speaker000/speaker000_0026.mp4	/content/audio/speaker000/speaker000_0026.wav	207	132633
speaker000_0027	/content/video/speaker000/speaker000_0027.mp4	/content/audio/speaker000/speaker000_0027.wav	160	101425
